전체 카테고리 성장률 순위:
====================================
Rank 25: {'대카테고리': '홈인테리어', '중카테고리': '원예/가드닝', '소카테고리': '흙/영양제/살충', '세부카테고리': '오아시스/압축배양토', 'total': 23, 'recent_sum': 21, 'older_sum': 2, 'growth_rate': 10.5, 'final_score': 264.5, 'rank': 25}
Rank 26: {'대카테고리': '완구/취미', '중카테고리': '원예/가드닝', '소카테고리': '흙/영양제/살충', '세부카테고리': '오아시스/압축배양토', 'total': 23, 'recent_sum': 21, 'older_sum': 2, 'growth_rate': 10.5, 'final_score': 264.5, 'rank': 26}
Rank 27: {'대카테고리': '가전디지털', '중카테고리': '휴대폰 액세서리', '소카테고리': '휴대폰 케이스', '세부카테고리': '방수케이스', 'total': 11, 'recent_sum': 10, 'older_sum': 1, 'growth_rate': 10.0, 'final_score': 121.0, 'rank': 27}
Rank 28: {'대카테고리': '스포츠/레저', '중카테고리': '낚시', '소카테고리': '낚시릴', '세부카테고리': '베이트릴', 'total': 10, 'recent_sum': 10, 'older_sum': 0, 'growth_rate': 10, 'final_score': 110, 'rank': 28}
Rank 29: {'대카테고리': '식품', '중카테고리': '생수/음료', '소카테고리': '과일/야채음료', '세부카테고리': '감귤/한라봉주스', 'total': 10, 'recent_sum': 9, 'older_sum': 1, 'growth_rate': 9.0, 'final_score': 100.0, 'rank': 29}
Rank 30: {'대카테고리': '식품', '중카테고리': '생수/음료', '소카테고리': '탄산/스포츠음료', '세부카테고리': '밀키스/암바사', 'total': 10, 'recent_sum': 9, 'older_sum': 1, 'growth_rate': 9.0, 'final_score': 100.0, 'rank': 30}
Rank 31: {'대카테고리': '헬스/건강식품', '중카테고리': '꿀/프로폴리스', '소카테고리': None, '세부카테고리': None, 'total': 10, 'recent_sum': 9, 'older_sum': 1, 'growth_rate': 9.0, 'final_score': 100.0, 'rank': 31}
Rank 32: {'대카테고리': '출산/유아동', '중카테고리': '완구/교구', '소카테고리': '실내대형완구', '세부카테고리': '볼풀/볼텐트', 'total': 8, 'recent_sum': 8, 'older_sum': 0, 'growth_rate': 8, 'final_score': 72, 'rank': 32}
Rank 33: {'대카테고리': '완구/취미', '중카테고리': '물놀이/계절완구', '소카테고리': '스노클링/다이빙', '세부카테고리': '스노클/호흡기', 'total': 8, 'recent_sum': 8, 'older_sum': 0, 'growth_rate': 8, 'final_score': 72, 'rank': 33}
Rank 34: {'대카테고리': '완구/취미', '중카테고리': '실내대형완구', '소카테고리': None, '세부카테고리': None, 'total': 8, 'recent_sum': 8, 'older_sum': 0, 'growth_rate': 8, 'final_score': 72, 'rank': 34}
Rank 35: {'대카테고리': '홈인테리어', '중카테고리': '원예/가드닝', '소카테고리': '씨앗/텃밭세트', '세부카테고리': '씨앗', 'total': 328, 'recent_sum': 291, 'older_sum': 37, 'growth_rate': 7.864864864864865, 'final_score': 2907.675675675676, 'rank': 35}
Rank 36: {'대카테고리': '생활용품', '중카테고리': '생활잡화', '소카테고리': '생활테이프', '세부카테고리': '찍찍이테이프', 'total': 65, 'recent_sum': 57, 'older_sum': 8, 'growth_rate': 7.125, 'final_score': 528.125, 'rank': 36}
Rank 37: {'대카테고리': '반려동물용품', '중카테고리': '강아지 간식', '소카테고리': None, '세부카테고리': None, 'total': 8, 'recent_sum': 7, 'older_sum': 1, 'growth_rate': 7.0, 'final_score': 64.0, 'rank': 37}
Rank 38: {'대카테고리': '스포츠/레저', '중카테고리': '스포츠신발', '소카테고리': None, '세부카테고리': None, 'total': 15, 'recent_sum': 13, 'older_sum': 2, 'growth_rate': 6.5, 'final_score': 112.5, 'rank': 38}
Rank 39: {'대카테고리': '스포츠/레저', '중카테고리': '구기스포츠', '소카테고리': '야구', '세부카테고리': '야구화', 'total': 15, 'recent_sum': 13, 'older_sum': 2, 'growth_rate': 6.5, 'final_score': 112.5, 'rank': 39}
